"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Adcyap1",240.817150808783,-0.34248518926337,0.591288160540394,-0.579218750042896,0.562441580757848,0.926485768266773
"Efna5",393.319781906845,-0.307213338929897,0.530396596851548,-0.579214385524956,0.562444525350463,0.926485768266773
"RP23-68H24.4",26.4881877994234,0.370655357897775,0.639878063191533,0.579259360836735,0.562414182385862,0.926485768266773
"Itpripl2",30.4788715768705,-0.282915603292959,0.48840752927601,-0.579261346999171,0.562412842423238,0.926485768266773
"RP23-56A14.12",8.59680381116739,0.691702880909435,1.19389226199013,0.579367923665423,0.562340942836228,0.926485768266773
"Sra1",5854.24433364466,0.143266730101559,0.24739027489403,0.579112215154487,0.562513458369976,0.926512032697135
"Slc31a1",999.91235468215,0.101615554818147,0.17548017309349,0.579071430274972,0.56254097653658,0.926512032697135
"Tmem82",4.9981606834395,0.871369309452722,1.50602994077635,0.578586976168308,0.562867894649836,0.926984139321356
"Mal",6031.82493613337,0.118944812272522,0.205723597018217,0.578177778322579,0.563144099920902,0.927032398048807
"Rnf185",1606.80835098656,0.157714673636484,0.272803340273852,0.578125889067792,0.563179129422447,0.927032398048807
"Polr2j",1321.85720351132,0.195275724403415,0.337761367266604,0.578147009481043,0.563164871284955,0.927032398048807
"Myl9",740.504210208091,-0.198446015106383,0.343091834669708,-0.578404948918196,0.562990753514997,0.927032398048807
"Pitpnm2",291.748467671203,-0.206797653315914,0.357525429017277,-0.578413831666,0.56298475782497,0.927032398048807
"Tlr3",193.288623446966,-0.219240354436776,0.379169950730283,-0.578211311351329,0.563121462936029,0.927032398048807
"Lgr5",189.245610784597,-0.226240607670512,0.391193331997654,-0.578334519443876,0.563038293194362,0.927032398048807
"Mrpl2",2792.66706646521,0.182175520127915,0.315198878129918,0.577970077840272,0.563284321091495,0.9271392461787
"Ly6h",1367.33728212013,0.275905672117974,0.477669392517414,0.577608020191319,0.563528790944699,0.927151949847529
"Xlr3a",109.244141374464,-0.27034469381697,0.467848500633686,-0.577846660726276,0.563367649488734,0.927151949847529
"Dnah10",77.0228649904903,-0.2703598357001,0.468118882054135,-0.577545247723706,0.563571181595025,0.927151949847529
"RP24-302F18.2",8.5359419757884,0.736463996369086,1.27517166015979,0.577541063198349,0.563574007486501,0.927151949847529
"Olfr898",4.63527521938672,-1.1276419411344,1.95202623831339,-0.577677655659341,0.563481767464358,0.927151949847529
"RP24-297N9.13",4.29634358300808,1.17520165572233,2.03399674108371,0.577779517530685,0.563412985526442,0.927151949847529
"RP23-17N7.8",5.06498091251467,0.849505584252967,1.4702157945945,0.577810133299016,0.5633923131074,0.927151949847529
"Rab3ip",1684.50186255655,-0.133939616575805,0.231958005444621,-0.577430454788863,0.56364870597573,0.927208566712648
"Tmem81",131.261618306839,0.237681945879045,0.411732794289858,0.577272321212572,0.563755508485874,0.927317983192979
"Gpx4",14193.123134445,0.169984969754029,0.294849653400378,0.576514056549373,0.564267771524419,0.927483566153186
"Golga2",1411.03825193161,-0.19508666277141,0.338414829101908,-0.576471968705199,0.564296211493352,0.927483566153186
"Slc35e3",872.875082383574,-0.219948417958242,0.381545407650991,-0.576467213463186,0.564299424790773,0.927483566153186
"Jam3",928.538593454887,-0.17936538291285,0.311123657927326,-0.576508337899353,0.564271635740492,0.927483566153186
"Aph1c",175.589028551447,0.225472716128922,0.391017207995767,0.57663118532462,0.564188627868852,0.927483566153186
"Baz1a",62.5271112954764,0.364524214935352,0.631840321497556,0.576924584476305,0.563990402173888,0.927483566153186
"RP23-326E2.4",7.07672103054625,-0.59128377991445,1.02520902985373,-0.576744607876513,0.564111993594403,0.927483566153186
"RP23-446D4.8",6.67277504549477,-0.704638362137097,1.2215583755291,-0.576835602991052,0.564050516106776,0.927483566153186
"Pgk2",6.7668987763257,-0.956672391746451,1.65878888372809,-0.576729444675535,0.564122238364622,0.927483566153186
"Bpifc",9.62827007404506,0.763696407572469,1.32378882110123,0.576901991767213,0.564005665018589,0.927483566153186
"C330002G04Rik",9.67919402878688,0.750621851937901,1.30097820477912,0.576967276761828,0.563961561300933,0.927483566153186
"Grsf1",3568.34703185412,-0.124788748565474,0.216845668851837,-0.575472635567084,0.564971692316436,0.927568708196858
"Nebl",840.57025204547,0.22447040723137,0.39008708031951,0.575436661597489,0.564996015506797,0.927568708196858
"Eral1",1121.28972348931,-0.133479284645882,0.231903071658818,-0.575582219291429,0.564897602240144,0.927568708196858
"Qpctl",964.111767370229,0.166409713985109,0.289045737112283,0.575721045560569,0.564803747850496,0.927568708196858
"Neurl4",984.350676742764,-0.154220273172346,0.267965187070448,-0.575523540420948,0.564937274721908,0.927568708196858
"Rabl2",963.720904944033,0.224408374640862,0.389762468262191,0.575756756779116,0.564779606265051,0.927568708196858
"Stn1",293.516334414269,-0.260290348672642,0.452222472104114,-0.575580305555261,0.564898896086163,0.927568708196858
"Cars2",437.191732470329,-0.161517575343185,0.280407017355561,-0.576011174279487,0.56460762868934,0.927568708196858
"Trim66",428.745765418843,-0.188256178768993,0.327146339584161,-0.57544944262035,0.564987373776955,0.927568708196858
"Frmd3",284.591045656202,0.227241508810207,0.394409672684775,0.576156023921415,0.564509726516636,0.927568708196858
"RP23-219P13.3",30.8105716929432,0.514361151823817,0.893300249373711,0.575798733051327,0.564751229997313,0.927568708196858
"Wnt6",121.876625450135,-0.751429139994339,1.30505777516523,-0.575782278986999,0.564762352983694,0.927568708196858
"Slc38a8",31.8808478384578,-0.691281217425165,1.20005954545551,-0.576039097428932,0.564588755124773,0.927568708196858
"RP23-184I13.3",5.48852167771375,-0.758499883599329,1.316456510393,-0.57616782446759,0.56450175102589,0.927568708196858
"Capn12",11.2663735426374,-0.874230771340489,1.51772326093376,-0.576014609410829,0.564605306829818,0.927568708196858
"RP23-473M13.2",3.01037667437784,-1.11656174572814,1.93908962367364,-0.575817503273929,0.564738541411139,0.927568708196858
"Slc9a5",402.384892573033,0.171984808343009,0.298977738290454,0.57524285696458,0.565127061890133,0.92765151786658
"RP24-93F24.2",7.47261483317653,0.702602950800011,1.22134049102013,0.575271970401275,0.565107375098979,0.92765151786658
"Hscb",383.616764928708,0.145443479216223,0.252889792217721,0.575125939013806,0.565206126274654,0.92771514001738
"Fbxo41",853.965488317215,-0.270244673653905,0.470294655658715,-0.5746284173172,0.565542628890378,0.927921495844458
"Slc38a7",606.380016329435,0.140980743448278,0.245418160176777,0.574451146348454,0.565662550721696,0.927921495844458
"Sco1",422.407536711382,0.134211817452432,0.233594116150756,0.574551361412782,0.565594754848779,0.927921495844458
